Post title,Post link,Created date,Impressions,Engagement rate
"Tiny castles and buried treasures - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as playtime at home. Next time you see little hands shaping their own miniature worlds, remember the unseen connection between our natural resources and a child's imagination.

#ifitsnotgrownitsmined #criticalminerals #mineralmining

Learn more about Virginia's rich geology at 
https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7313977467742932993,04/04/2025,265,16.2%
"Virginia is the #1 state for business, the data center capital of the world, and is now recognized as ""Silicon Valley East."" We are working to strengthen our world-class energy infrastructure to stand ready to support whatever economic opportunities come next. By investing in nuclear, natural gas, and other reliable, affordable, and clean technologies, we can build the foundation for future innovation and ensuring Virginia remains positioned for continued economic growth and success.

https://lnkd.in/ey7kRSn8",https://www.linkedin.com/feed/update/urn:li:activity:7313659157289533441,04/03/2025,508,8.3%
"Virginia is the #1 state for business, the data center capital of the world, and is now recognized as ""Silicon Valley East."" We are working to strengthen our world-class energy infrastructure to stand ready to support whatever economic opportunities come next. By investing in nuclear, natural gas, and other reliable, affordable, and clean technologies, we can build the foundation for future innovation and ensuring Virginia remains positioned for continued economic growth and success.

https://lnkd.in/ey7kRSn8",https://www.linkedin.com/feed/update/urn:li:activity:7313659157289533441,04/03/2025,20663,0.2%
"Virginia is the #1 state for business, the data center capital of the world, and is now recognized as ""Silicon Valley East."" We are working to strengthen our world-class energy infrastructure to stand ready to support whatever economic opportunities come next. By investing in nuclear, natural gas, and other reliable, affordable, and clean technologies, we can build the foundation for future innovation and ensuring Virginia remains positioned for continued economic growth and success.

https://lnkd.in/ey7kRSn8",https://www.linkedin.com/feed/update/urn:li:activity:7313659157289533441,04/03/2025,21171,0.3%
"Check out our April newsletter for all the latest updates at	https://conta.cc/3FQVvpe  and sign up for email alerts to receive exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz",https://www.linkedin.com/feed/update/urn:li:activity:7313609712791400448,04/03/2025,100,10.0%
"Virginia Energy's Geology and Mineral Resources team showcased their leadership at the Southeast Geological Society of America conference, earning praise from regional experts. By sharing insights such as a new KarstView App to inform land-use decisions and geohazards research to reduce the impacts of landslides, our team is directly improving public safety for Virginia citizens. The team's contributions demonstrate how our scientific expertise translates into real-world solutions that make a meaningful difference in emergency response and community protection.

Learn more at https://ow.ly/cOBQ50VtcN0",https://www.linkedin.com/feed/update/urn:li:activity:7313211928946921473,04/02/2025,534,47.0%
"Building tomorrow's digital economy requires investments in energy and broadband infrastructure today. Deputy Director Julianne Szyper showcased Virginia's strategies for accelerating infrastructure deployment—including our industry-leading nuclear and fusion energy initiatives—through streamlined permitting and modernized approval processes at Breakfast Media LLC Data Centers, Nuclear Power and Broadband conference earlier this week.",https://www.linkedin.com/feed/update/urn:li:activity:7312805978352046081,03/31/2025,358,28.2%
"
As American Nuclear Society CEO Craig Piercy points out, Virginia's General Assembly may have missed an opportunity to join a growing number of states—and a national bipartisan consensus—that recognize #nuclear as essential to a reliable and clean energy future. Efforts to modernize the Virginia Clean Economy Act and create a technology-neutral clean energy standard didn't move forward during the session, but Governor Glenn Youngkin’s proposed amendments give the General Assembly another chance to join the rest of the nation in embracing nuclear as part of an increasingly clean energy future.

https://lnkd.in/eEvRndDz",https://www.linkedin.com/feed/update/urn:li:activity:7312528393810464768,03/31/2025,596,11.1%
"When energy demand surges, natural gas is the source that can respond fastest to keep power flowing. As Virginia’s energy needs grow, natural gas remains essential to maintaining a reliable, responsive grid that delivers power when we need it most.",https://www.linkedin.com/feed/update/urn:li:activity:7312186926084608000,03/30/2025,399,13.3%
"Commonwealth Fusion Systems's latest milestone is an important step toward building the world’s first commercial fusion reactor in #ChesterfieldCounty. This achievement moves Virginia closer to delivering virtually limitless, carbon-free power and showcases how the Virginia Clean Energy Innovation Bank, which provided early funding support for the project, is helping attract transformative energy innovation to the Commonwealth.

https://lnkd.in/gyn5QnYF

#FusionEnergy #fusionpower #energy #innovation #EnergyLeadership ",https://www.linkedin.com/feed/update/urn:li:activity:7312081350704947200,03/30/2025,425,8.5%
"Virginia Energy is hiring a Compliance Specialist to help ensure safe, environmentally sound mineral mining operations. Inspect sites, investigate incidents, and provide training to protect Virginia's resources. Apply today at https://lnkd.in/e4XnfXVH ",https://www.linkedin.com/feed/update/urn:li:activity:7311824620360269824,03/29/2025,123,9.8%
"Governor Glenn Youngkin joined BWX Technologies, Inc. leadership at a ribbon cutting earlier this week celebrating a new 170,000 square foot Innovation Campus in #LynchburgVA, designed to accelerate the development of next-generation #nuclear technologies. This latest milestone is another example of why Virginia continues to lead the nation in nuclear innovation, energy security, and workforce development.

#AdvancedNuclear #VirginiaEnergy #EnergyInnovation #WorkforceDevelopment #EnergySecurity 

https://lnkd.in/ePS3QkdC",https://www.linkedin.com/feed/update/urn:li:activity:7311462099266793473,03/28/2025,521,9.8%
"??ATTENTION, CLEAN ENERYGY INNOVATORS!??The Virginia Clean Energy Innovation Bank is removing financing barriers to help you bring innovative technologies to market. We're combining public and private capital to invest  in advanced nuclear, carbon capture, hydrogen, renewables, and beyond. Join us in building a resalable and increasingly clean grid while strengthening Virginia's role as a clean energy leader. 

Learn more at: https://lnkd.in/eKtv2Axg
",https://www.linkedin.com/feed/update/urn:li:activity:7311356424071098368,03/28/2025,492,16.9%
"Virginia is working to double power generation in the next decade by investing in #nuclear and #fusion and embracing next-gen #naturalgas. Virginia Energy Director Glenn Davis sat down with the America First Energy Podcast (Energy Right) to discuss the Commonwealth's bold approach and to meeting skyrocketing energy demand and our position as the nation's leader in innovation.

https://lnkd.in/ecXQacr5",https://www.linkedin.com/feed/update/urn:li:activity:7310994009538068481,03/26/2025,333,15.6%
"""To avoid the cost of a delay in advanced nuclear deployment, the industry will need to begin deploying nuclear by 2030,"" according to the U.S. Department of Energy (DOE) "" Virginia is leading the way by exploring new nuclear infrastructure opportunities now, helping to ensure that our increasingly clean energy future doesn't place an unnecessary burden on ratepayers.

More at https://lnkd.in/gbnik7Uz",https://www.linkedin.com/feed/update/urn:li:activity:7310631845212180481,03/26/2025,139,11.5%
"Governor Glenn Youngkin has sent down amendments to a number of energy bills including some that would address the $5.5 billion of Renewable Portfolio Standard (RPS) compliance costs. Unless the amendments are accepted by the General Assembly, every dollar of RPS compliance costs will be passed on to ratepayers in the form of higher energy bills starting this September.",https://www.linkedin.com/feed/update/urn:li:activity:7310432502114869248,03/25/2025,273,6.6%
"Virginia Energy geologists like Katie Lang and Jenny Meng help protect our communities by providing environmental consultants and scientists with critical information on groundwater location, mineral resource assessments, and geologic hazards. 

Explore more from our geology team at: https://ow.ly/125p50Vm9GS",https://www.linkedin.com/feed/update/urn:li:activity:7310300747747737601,03/25/2025,377,13.0%
"Virginia is ensuring federal mine reclamation funds stay in the Commonwealth, supporting land restoration, economic development, and community revitalization efforts. Governor Glenn Youngkin has signed HB1948/SB929, creating the Abandoned Mine Land Grant Retention Fund to guarantee these funds are used as intended—turning former mine sites into new opportunities and improving communities across Southwest Virginia.
Learn more about Virginia Energy's Abandoned Mine Land initiatives at https://ow.ly/PznU50VmqEO

",https://www.linkedin.com/feed/update/urn:li:activity:7309907190020988929,03/24/2025,347,19.0%
"Clean energy is built with coal. Virginia produces $2+ billion worth of coal each year, a majority of which is not burned to produce electricity, but is used to manufacture a wide variety of products, like silicon: a crucial component in solar panels.",https://www.linkedin.com/feed/update/urn:li:activity:7309577214449102848,03/23/2025,327,11.6%
"Through permit review, water quality monitoring, and technical support, our Water Quality Team plays a vital role in land reclamation and environmental stewardship—ensuring cleaner water and stronger communities across Virginia. This World Water Day, we’re proud to highlight their work protecting and restoring waterways throughout the Commonwealth.

 #WorldWaterDay ",https://www.linkedin.com/feed/update/urn:li:activity:7309182351463309312,03/22/2025,123,15.4%
"Don’t miss your chance to secure up to $10,000 to assess energy resilience and develop a solar-plus-storage hub for your community! This funding empowers localities to strengthen their energy security and access additional grants for implementation. The deadline applications is March 31, 2025, at 5 PM—apply now! 

https://lnkd.in/eAYWPM_s",https://www.linkedin.com/feed/update/urn:li:activity:7308917955218604033,03/21/2025,307,6.5%
"Virginia is taking bold steps to turn abandoned mine lands into economic opportunities with $11 million in AMLER funding announced this week by Governor Glenn Youngkin and Congressman Morgan Griffith. Virginia Energy's AMLER program has already turned former mine sites into industrial parks, clean energy projects, and tourism hubs—creating jobs, improving public safety, and strengthening communities.

Applications are now open! View the press release for additional details: https://lnkd.in/eZ3CTUr8",https://www.linkedin.com/feed/update/urn:li:activity:7308819751722471425,03/20/2025,600,17.2%
"A state-of-the-art Small Modular Reactor (SMR) Control Room Simulator is coming to George Mason University’s Arlington campus, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions. #Nuclear #Energy #Innovation

Read the full release: https://ow.ly/qS7U50VlJWV

Learn more about the Virginia Clean Energy Innovation Bank: https://ow.ly/U9t950VlJWQ ",https://www.linkedin.com/feed/update/urn:li:activity:7308563646295474178,03/20/2025,396,16.4%
"#Fusion is now officially recognized as a carbon-free, #cleanenergy source in Virginia! Governor Glenn Youngkin has signed the unanimously supported HB1779/SB1338 into law, reaffirming Virginia’s commitment to innovative, reliable energy solutions and an increasingly clean energy future. 

Learn more about the world’s first commercial fusion power plant coming to Chesterfield at https://lnkd.in/e3pwGcDj

#CompeteToWin",https://www.linkedin.com/feed/update/urn:li:activity:7308439695242244096,03/20/2025,478,21.3%
"Virginia Energy Director Glenn Davis showcased Virginia's leadership in #nuclear #innovation at SXSW over the weekend, discussing the groundbreaking steps we're taking to secure a reliable and increasingly clean energy future. Listen to the full panel discussion at https://lnkd.in/eVRGxdMT",https://www.linkedin.com/feed/update/urn:li:activity:7307747976150482945,03/18/2025,238,6.3%
"Governor Glenn Youngkin, Secretary Caren Merrick, and Director Glenn Davis joined industry leaders from around the world at #CERAWeek to share Virginia's leadership in #FusionPower and our all-of-the-above, innovative strategies for meeting the growing energy needs of a thriving economy. Virginia is committed to reliable, affordable, and increasingly clean energy solutions that will power the Commonwealth for generations to come.

Read more at https://lnkd.in/eUqRVrNy",https://www.linkedin.com/feed/update/urn:li:activity:7307508596047597569,03/17/2025,578,22.1%
"Nuclear power is fundamental to a reliable, affordable, and increasingly clean energy future. It delivers 24/7, emissions-free electricity, keeping costs stable, reducing reliance on imports, and strengthening Virginia’s energy security. 

Learn more about nuclear in Virginia at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7307370181196992512,03/17/2025,414,11.6%
"Innovations in natural gas are making it a key player in our increasingly clean energy future, with technologies like carbon capture and hydrogen integration enhancing its sustainability while ensuring reliability. Embracing all clean energy solutions is critical for meeting our growing power demands. #EnergyInnovation #NaturalGas #VirginiaEnergy

https://ow.ly/CkeZ50Vh5HI",https://www.linkedin.com/feed/update/urn:li:activity:7307038097337122816,03/16/2025,566,3.7%
"Backed by Virginia Clean Energy Innovation Bank (VCEIB), the world's first commercial #fusionpower plant is coming to #ChesterfieldVA! This groundbreaking project exemplifies VCEIB's mission—driving innovative clean energy solutions that deliver cutting-edge technology, high-paying jobs, and economic growth throughout the Commonwealth.

Learn how VCEIB's strategic investments are positioning Virginia at the forefront of clean energy innovation at https://ow.ly/bsUv50Vh5L2",https://www.linkedin.com/feed/update/urn:li:activity:7306675627267379201,03/15/2025,542,10.7%
"Virginia Energy took the stage at Energy Tech Virginia last week, sharing insights on fusion energy, reliability, and the Virginia Clean Energy Innovation Bank with the industry leaders and entrepreneurs driving the future of energy. As Virginia continues to build a reliable and resilient grid, we’re proud to support Virginia’s energy innovators in strengthening our economy, creating jobs, and securing our energy future. #EnergyTech2025 #EnergyTech",https://www.linkedin.com/feed/update/urn:li:activity:7306343833561124864,03/14/2025,986,18.7%
"Virginia Energy is seeking a highly skilled Compliance and Technical Specialist to join our Coal Mine Safety team. Play a crucial role in investigating accidents and complaints, helping prevent accidents through training and plan evaluation, and ensuring compliance with state coal mining laws.

Applications due by March 18th 11:55pm.

Apply now: https://ow.ly/fRaQ50VhoQT",https://www.linkedin.com/feed/update/urn:li:activity:7306283383385407489,03/14/2025,206,2.4%
"New funding opportunity for local Virginia governments! Virginia Energy is now accepting applications for $1.6 million in block grant awards for a wide range of local energy efficiency and conservation projects, from community education programs to energy audits and and more! 

Learn more at: https://ow.ly/8urB50Vhznx 

Read Release: https://ow.ly/3G7Y50Vhzny

",https://www.linkedin.com/feed/update/urn:li:activity:7306023037043179522,03/13/2025,395,7.6%
"Virginia Energy is seeking a dynamic leader to join our agency as a Senior Abandoned Mine Land (AML) Project Manager. This pivotal role will oversee our statewide AML Program, focusing on improving the health and safety of coalfield communities and their environment.

Applications due by March 17th 11:55pm

Apply Here: https://ow.ly/Op2750VhoUO",https://www.linkedin.com/feed/update/urn:li:activity:7305982334145646592,03/13/2025,329,5.2%
"Congratulations to Virginia Energy's mine rescue team for an excellent performance at the 2025 Southeast Regional Mine Rescue Contest! Competing against 18 teams from across the country, our team placed 1st on day one of the contest, 2nd on day two, and was 2nd overall, showcasing their expertise and commitment to mine safety excellence!

Pictured left to right: Chris Whitt, Shannon Moore, Will Altizer, Danny Mullins, Anthony Sturgill, Dennis Honaker, Sidney Crabtree, & Joey Musick",https://www.linkedin.com/feed/update/urn:li:activity:7305936419653382146,03/13/2025,292,7.9%
"Virginia leads the nation in clean energy innovation! Ranked as the #1 state for business, Virginia is attracting pioneering companies and innovative technologies that are redefining safe, carbon-free, and scalable power—reinforcing our role as leaders in technology, energy, and economic opportunity. #FusionEnergy #SiliconValleyEast #Energy #Innovation 

https://ow.ly/jm1X50VfCpI",https://www.linkedin.com/feed/update/urn:li:activity:7305573857208291331,03/12/2025,594,5.9%
"Don’t miss your chance to secure up to $10,000 to assess energy resilience and develop a solar-plus-storage hub for your community! This funding empowers localities to strengthen their energy security and access additional grants for implementation. The deadline applications is Friday, March 14, 2025, at 5 PM—apply now! 
https://ow.ly/Ooe350Vb0cR",https://www.linkedin.com/feed/update/urn:li:activity:7305222341528072194,03/11/2025,162,1.9%
"??ATTENTION, CLEAN ENERYGY INNOVATORS!??The Virginia Clean Energy Innovation Bank is removing financing barriers to help you bring innovative technologies to market. We're combining public and private capital to invest  in advanced nuclear, carbon capture, hydrogen, renewables, and beyond. Join us in building a resalable and increasingly clean grid while strengthening Virginia's role as a clean energy leader. 

Learn more at: https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7304833473972699138,03/10/2025,648,12.8%
"Virginia Tech researchers are exploring ways to extract #criticalminerals from coal waste, fly ash, and slag dumps, turning industrial byproducts into a domestic supply of manufacturing resources for batteries, renewables, and advanced energy systems. This research could reduce reliance on imports while driving innovation and economic opportunity in Virginia! #CriticalMinerals 

https://lnkd.in/eWz3aa6D
",https://www.linkedin.com/feed/update/urn:li:activity:7304510074150879232,03/09/2025,1087,7.5%
"Virginia is the #1 state for business, the data center capital of the world, and is now recognized as ""Silicon Valley East."" We are working to strengthen our world-class energy infrastructure to stand ready to support whatever economic opportunities come next. By investing in nuclear, natural gas, and other reliable, affordable, and clean technologies, we can build the foundation for future innovation and ensuring Virginia remains positioned for continued economic growth and success.

https://lnkd.in/ey7kRSn8",https://www.linkedin.com/feed/update/urn:li:activity:7304162785897140224,03/08/2025,535,4.9%
"The Virginia Clean Energy Innovation Bank is paving the way for Virginia's #cleanenergy future through investments in cutting-edge solutions that strengthen our grid, lower emissions, and fuel economic growth. From hydrogen, to carbon capture, battery storage, SMRs, and beyond—if you’re working on clean energy technologies in Virginia, we want to hear from you! Explore how the energy bank can help advance your project at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7303761423560507393,03/07/2025,366,7.7%
"Strengthening our energy grid today is critical for meeting the energy demands of tomorrow. PJM’s newly selected transmission projects—developed by Dominion Energy, AEP, and FirstEnergy—will improve reliability, capacity, and resilience across the region. It's smart, proactive investments like these that ensure Virginia stays powered and competitive. 

https://ow.ly/P6Wc50Vb1mF",https://www.linkedin.com/feed/update/urn:li:activity:7303505002403094530,03/06/2025,262,3.1%
"Smart energy policy is all about balance. Overreliance on intermittent sources like solar or wind can lead to instability, while natural gas and nuclear are essential for maintaining grid reliability. Virginia’s all-of-the-above approach ensures we meet rising demand and achieve our emissions goals without sacrificing affordability or energy security. #Alloftheabove #Energy #Innovation #nuclear #naturalgas #renewables 

https://lnkd.in/eMJWZRdq",https://www.linkedin.com/feed/update/urn:li:activity:7303399234869907457,03/06/2025,387,4.7%
"Smart energy policy is all about balance. Overreliance on intermittent sources like solar or wind can lead to instability, while natural gas and nuclear are essential for maintaining grid reliability. Virginia’s all-of-the-above approach ensures we meet rising demand and achieve our emissions goals without sacrificing affordability or energy security. #Alloftheabove #Energy #Innovation #nuclear #naturalgas #renewables 

https://lnkd.in/eMJWZRdq",https://www.linkedin.com/feed/update/urn:li:activity:7303399234869907457,03/06/2025,7327,0.1%
"Smart energy policy is all about balance. Overreliance on intermittent sources like solar or wind can lead to instability, while natural gas and nuclear are essential for maintaining grid reliability. Virginia’s all-of-the-above approach ensures we meet rising demand and achieve our emissions goals without sacrificing affordability or energy security. #Alloftheabove #Energy #Innovation #nuclear #naturalgas #renewables 

https://lnkd.in/eMJWZRdq",https://www.linkedin.com/feed/update/urn:li:activity:7303399234869907457,03/06/2025,7714,0.3%
"Don’t miss your chance to secure up to $10,000 to assess energy resilience and develop a solar-plus-storage hub for your community! This funding empowers localities to strengthen their energy security and access additional grants for implementation. The deadline applications is Friday, March 14, 2025, at 5 PM—apply now! 
https://ow.ly/GIis50Vb0cT",https://www.linkedin.com/feed/update/urn:li:activity:7303059318612869120,03/05/2025,1729,6.3%
"Virginia's investment in geological mapping delivers exceptional financial returns—7 to 10 times the investment cost—according the first-ever cost-benefit analysis of geological mapping! At Virginia Energy, our expert geologists create detailed maps that businesses and communities rely on for smart development, hazard prevention, and industry planning across the Commonwealth. 

U.S. Geological Survey (USGS) American Geosciences Institute 

Read the full report at https://lnkd.in/e_xs68CC",https://www.linkedin.com/feed/update/urn:li:activity:7302773152344883200,03/04/2025,1034,4.0%
"Don't miss another important update on Virginia Energy's energy, mining, mineral, and geology initiatives. Sign up for email alerts to keep up with the progress we're making across the Commonwealth at: https://ow.ly/23q350V9II8",https://www.linkedin.com/feed/update/urn:li:activity:7302674409478148096,03/04/2025,156,3.8%
"Over the next year, airborne geophysical surveys across Virginia will enhance our understanding of critical minerals, groundwater resources, natural hazards like earthquakes and radon, and legacy mining areas. These surveys will use low-flying planes and helicopters to measure variations in the Earth’s magnetic field and natural radiation from rock layers, even miles below the surface. This data will improve 3D geologic maps, supporting essential research and resource management.

The results will contribute to new geologic maps by Virginia Energy’s Geology and Mineral Resources Program. https://lnkd.in/eQn4QuKB",https://www.linkedin.com/feed/update/urn:li:activity:7302327315135385600,03/03/2025,1212,7.3%
"The tale of Virginia's economic future is written in stone – and Virginia Energy is decoding it! From food production to data centers, our geologic maps help industry professionals target critical mineral deposits, identify favorable land for development, and understand groundwater resources. 

Explore our interactive map at https://tinyurl.com/gmrmap & download publications at https://tinyurl.com/gmrcat",https://www.linkedin.com/feed/update/urn:li:activity:7301979766520188928,03/02/2025,775,8.1%
"Nuclear provides clean, reliable energy, but it also providing high-paying, reliable jobs. Building Virginia's reliable, affordable, and increasingly clean energy future requires experts with a wide range of skillsets.
 
Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7301602150277615616,02/24/2025,486,6.8%
"Natural gas will remain a cornerstone of reliable and affordable energy, ensuring our thriving businesses and growing communities have the power they need to support their continued growth. Virginia's commitment to energy stability aligns with the bipartisan understanding—spanning across presidential administrations—that natural gas is essential as energy demand reaches new heights.

Learn more at https: https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7301224854668599300,02/28/2025,114,4.4%
Virginia Energy's commitment to safety has contributed to the significant decline in mining fatalities over the past decades. The dedication of miners and their employers to safe mining practices is evident every day they report for work. This collaborative effort has been crucial in achieving a safer mining environment in Virginia.,https://www.linkedin.com/feed/update/urn:li:activity:7300877801442672641,02/27/2025,216,3.7%
"Good jobs incoming! As Virginia pursues the deployment of nuclear, natural gas, and renewable resources as part of its all-of-the-above energy plan, Virginian's from all backgrounds can expect to see an increase in well-paying jobs across the energy sector.
 
More from the International Energy Agency's report on employment in the worldwide energy sector at https://lnkd.in/dvnKEVRJ",https://www.linkedin.com/feed/update/urn:li:activity:7300515521379160065,02/26/2025,348,4.6%
"“Nuclear power plants operate at much higher capacity factors than renewable energy sources or fossil fuels. Capacity factor is a measure of what percentage of the time a power plant actually produces energy. It’s a problem for all intermittent energy sources. The sun doesn’t always shine, nor the wind always blow, nor water always fall through the turbines of a dam.“

Learn more: https://ow.ly/L2JQ50V4BER",https://www.linkedin.com/feed/update/urn:li:activity:7300153084268232705,02/25/2025,773,7.5%
"Mark your calendars! The 2025 Virginia Geologic Research Symposium is coming to #Charlottesville on Friday, April 25. Join us as we explore the latest research shaping our understanding of the geological features critical to the Commonwealth's environmental stewardship and economic growth.

Registration opens March 1 at https://lnkd.in/e_xs68CC 

#VAGeology #VirginiaScience #Geology #Research",https://www.linkedin.com/feed/update/urn:li:activity:7299790873402171392,02/24/2025,351,9.7%
"Did you know that the vast majority of #coal mined in Virginia is NOT used for energy production? Instead, Virginia coal plays a critical role in a wide variety of manufacturing processes such as global #steel production. From roads and bridges, to homes and hospitals - the strength and durability of our modern infrastructure is thanks in-part to Virginia's coal mining efforts. #metcoal

Learn more at https://ow.ly/6WYR50UCQRP",https://www.linkedin.com/feed/update/urn:li:activity:7299443082763120640,02/23/2025,517,7.4%
"The United States is the world’s leading producer of natural gas. It's available, affordable and reliable, and that is what makes it so versatile. In Virginia, natural gas accounts for over 50% of our electricity generation.  

Learn More: https://lnkd.in/esawrUmt",https://www.linkedin.com/feed/update/urn:li:activity:7299080682973085696,02/22/2025,750,5.7%
"Virginia is poised to make history as the home of the world's first commercial fusion power plant, with Commonwealth Fusion Systems (CFS) breaking ground in Chesterfield County. This landmark project puts the Commonwealth at the forefront of fusion energy—a technology set to transform the global energy landscape by offering the cheapest, most reliable, and cleanest power source ever developed. 

https://lnkd.in/gwDZi82S",https://www.linkedin.com/feed/update/urn:li:activity:7298688182525587458,02/21/2025,1436,7.2%
"Virginia educators—energize your classrooms with Navigating Nuclear! This free resource from the American Nuclear Society  offers digital lesson plans, STEM project starters, career profiles, and virtual field trips for grades 3-12. Explore how nuclear science fuels our clean energy future and creates exciting economic opportunities for tomorrow’s innovators. 

Discover all the resources and start inspiring your students today: https://lnkd.in/eknZsx4q

#VirginiaEducators #NuclearEnergy #STEM #ScienceTeachers #ScienceClass #STEMcareers",https://www.linkedin.com/feed/update/urn:li:activity:7298438832578850816,02/20/2025,288,2.8%
"Nuclear is the most powerful and efficient source of clean, emissions-free energy—producing significantly more electricity with less land and fewer resources than any other technology. While renewables are an important part of Virginia's energy future, they can't meet our state's ambitious climate goals and surging energy demands on their own. Smart investments in nuclear infrastructure will ensure Virginia's growing economy has the reliable, clean power it needs to thrive.

#Nuclear #Energy #CleanPower #CleanEnergy

Learn more https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7298325827262296065,02/20/2025,591,5.8%
"Virginia's investment in geological mapping delivers exceptional financial returns—7 to 10 times the investment cost—according the first-ever cost-benefit analysis of geological mapping! At Virginia Energy, our expert geologists create detailed maps that businesses and communities rely on for smart development, hazard prevention, and industry planning across the Commonwealth. 

U.S. Geological Survey (USGS) American Geosciences Institute 

Read the full report at https://lnkd.in/e_xs68CC",https://www.linkedin.com/feed/update/urn:li:activity:7298072664059891715,02/19/2025,399,3.3%
"By the end of 2023, the pioneering minds at Dominion Energy have upgraded 800 miles of 230 kV power lines with advance conductors, boosting capacity by 50%! At Virginia Energy, we're excited to see this type of innovative grid enhancing technology (GET) pushing Virginia forward. Our Clean Energy Innovation Bank aims to support and encourage such innovative solutions across the Commonwealth, ensuring a more resilient and efficient energy future! 

Learn more at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7297269026857123841,02/17/2025,296,2.4%
"Having already driven major emissions reductions through the transition from coal to cleaner-burning natural gas, Virginia can maintain this momentum with nuclear power working alongside renewables and natural gas to create a balanced grid that is reliable, affordable, and increasingly clean.

Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7296906376881057792,02/16/2025,565,4.8%
"Virginia’s rich geology provides essential mineral and energy resources that fuel economic growth and innovation at home and abroad. These resources not only support jobs and industry but also generate revenue for communities and create new business opportunities. From mining to energy production, Virginia’s natural resources have long been a cornerstone of our economy—and they remain critical to our future.

Learn more at https://ow.ly/6LOg50V0quR",https://www.linkedin.com/feed/update/urn:li:activity:7296544064479383552,02/15/2025,2049,8.7%
"From stadium lights and movie nights to main street stores and manufacturing floors, Virginia's communities and businesses rely on natural gas and nuclear power for over 80% of their electricity.

Learn more about Virginia's reliable, affordable, and increasingly clean energy future at  https://lnkd.in/eRwbfKsz",https://www.linkedin.com/feed/update/urn:li:activity:7296151659892658176,02/14/2025,805,30.3%
"Virginia's growing nuclear infrastructure will create diverse employment opportunities for Virginians. Investments from Amazon, Dominion, and the US Navy in our state's nuclear future brighten job prospects for mechanics, engineers, scientists, trade workers, and more!",https://www.linkedin.com/feed/update/urn:li:activity:7295902837178355712,02/13/2025,1199,20.1%
"Virginia imports more electricity than any other state. This unprecedented level of energy dependence, coupled with our fastest-growing power demand since World War II, underscores the urgent need to expand our in-state energy resources and infrastructure. A diversified mix of natural gas, nuclear, renewables and other innovative technology is needed to reduce our reliance on imports and ensure a resilient, self-sufficient infrastructure for the Commonwealth. However, the current Virginia Clean Economy Act (VCEA), while setting ambitious clean energy goals, limits our ability to maintain and expand this flexible and reliable energy mix, and may result in a significant production shortfall over the next few years.

Learn more at https://ow.ly/bfPg50UKyl6",https://www.linkedin.com/feed/update/urn:li:activity:7295483543441338370,02/12/2025,384,4.2%
"The Virginia Energy Division of Geology & Mineral Resources has published a new annual newsletter, showcasing our team’s impact across the Commonwealth in 2024! From mapping critical mineral resources to assessing landslide risks and supporting coastal resilience, our experts are enhancing public safety and supporting a wide range of sectors in Virginia's thriving economy. 

Read the full report at: https://lnkd.in/eCt4-r_C",https://www.linkedin.com/feed/update/urn:li:activity:7295090959652978688,02/11/2025,859,39.3%
"A 203-acre former farm and mine in Wise County is being transformed into a hub for economic opportunity thanks to Virginia Energy's #AMLER program in partnership with the Virginia Coalfield Economic Development Authority. Phase 1 is now complete and included extending water, sewer, natural gas, and electricity infrastructure, which helped the site secure a Business Ready Certification through the Virginia Economic Development Partnership. Projects like these boost local economies, strengthen communities, and increase public safety across the Commonwealth. Office of Surface Mining Reclamation and Enforcement",https://www.linkedin.com/feed/update/urn:li:activity:7294792472797278208,02/10/2025,867,7.7%
"Virginia Energy geologists are mapping rock formations with the potential for carbon sequestration, unlocking new economic opportunities across the Commonwealth. By identifying sites where CO? can be permanently stored, geologists like Catharine DeGolyer are paving the way for investment in advanced energy, sustainable development, and low-carbon manufacturing—helping industries cut emissions while driving growth.",https://www.linkedin.com/feed/update/urn:li:activity:7294732376541188097,02/10/2025,358,7.5%
"Virginia Energy’s geologic mapping program is an accelerator for the production of #criticalminerals essential to #nationalsecurity, economic growth, and global manufacturing. Focusing on high-priority regions like the I-81 Corridor and Richmond, we’re strengthening domestic supply chains for energy, defense, and technology, while keeping Virginia at the forefront of mining innovation and development. 

Learn more at https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7294369686232723456,02/09/2025,1280,9.4%
